ID,Sex,Researcher,SVL,TRUNK,LUS,LUZ,LUM,LUT,RUS,RUZ,RUM,RUT,LLS,LLZ,LLM,LLT,RLS,RLZ,RLM,RLT,PG,SG,HL,HH,HW,TL
Pm434,M,AH,69.1,31.21,5.32,7.84,3.08,7.36,5.4,7.79,3.11,7.15,13.65,11.1,5.15,NA,13.59,11.92,5.44,12.72,8.46,8.67,16.83,6.96,9.21,112.56
Pm435,M,AH,68.77,36.23,6.62,8.45,3.39,7.45,6.32,8.04,3.58,8.02,13.42,11.63,5.64,12.01,13.89,11.27,5.04,13.53,7.74,8.08,17.42,6.76,9.66,125.12
Pm435,M,AH,69.08,36.84,6.19,8.16,3.36,7.61,6.19,8.1,3.34,7.78,13.28,11.5,5.63,11.95,13.37,11.23,5.14,13.1,7.54,8.07,17.15,6.72,9.05,125.07
Pm445,M,AH,60.47,33.02,5.33,7.03,2.41,5.31,5.85,6.84,3.2,5.34,12.99,10.8,4.62,10.58,12.2,9.86,4.84,NA,6.66,8.04,15.58,6.07,8.04,70.18
Pm445,M,AH,60.63,32.66,5.54,6.91,2.37,5.41,5.46,6.88,3.11,5.24,12.58,10.55,4.6,10.81,12.22,9.79,5,NA,6.94,7.81,15.46,5.75,8.16,70.16
Pm443,M,AH,58.36,31.19,5.29,7.04,2.83,6.11,4.5,7.1,2.84,6.54,11.24,9.89,4.76,10.69,11.85,9.57,4.09,11.75,6.48,7.2,15.25,6.23,8.01,121.43
Pm443,M,AH,58.34,32.56,5.17,7.42,2.82,5.97,4.84,7.15,2.74,6.13,11.21,9.86,4.97,10.64,12.16,9.58,4.04,11.75,6.62,7.2,15.24,6,8.07,122.01
Pm423,M,EG,69.7,34.43,7.11,8.62,2.61,7.58,7.66,8.25,3.29,7.8,16.68,12.36,5.26,NA,16.8,12.05,4.03,NA,8.68,8.48,17.82,6.61,9.41,94.48
Pm423,M,EG,70.96,35.64,7.33,8.42,2.78,7.84,6.95,7.92,3.48,8.12,17.34,12.03,4.81,NA,17.63,11.83,4.39,NA,9.24,8.61,17.86,6.4,9.24,94.13
Pm447,M,EG,61.74,30.94,6.07,7.56,2.97,6.53,7.3,7.05,2.68,NA,13.12,9.96,3.61,NA,13.02,9.32,3.99,13.3,6.77,6.32,15.23,6.06,8.29,55.3
Pm447,M,EG,62.43,31.19,6.06,7.7,3.16,6.83,6.82,6.64,2.65,NA,12.96,9.48,3.87,NA,12.29,9.02,3.81,13.79,7.13,6.26,15.43,5.79,7.97,55.62
Pm437,M,EG,57.46,29.48,6.79,6.7,2.63,7.27,5.96,6.64,2.91,6.98,12.72,8.66,3.67,NA,13.26,9.52,4,NA,6.28,6,14.56,5.35,8.7,94.19
Pm437,M,EG,58.48,29.63,6.58,6.85,2.99,7.98,5.3,6.55,2.71,6.79,12.45,8.88,3.75,NA,12.47,9.7,3.71,NA,6.44,5.66,14.92,5.66,8.15,93.52
Pm424,M,EG,51.01,24.22,5.07,6.08,2.42,6.46,5.78,6.02,2.88,6.04,12.83,8.61,3.64,12.39,12.08,9.08,4.05,12.13,6.18,5.53,13.34,5.29,6.21,62.23
Pm424,M,EG,52.15,23.39,4.85,6.09,2.49,6.44,5.53,6.08,2.53,5.93,12.61,8.47,3.49,12.52,12.89,8.75,3.87,12.21,6.04,6.04,13.51,4.93,6.19,61.74
Pm427,M,EG,69.3,35.24,7.18,8.43,3.48,8.17,6.5,7.73,3.29,7.9,15.98,11.49,4.4,13.49,17.35,11.39,5.22,14.66,8.17,7.51,17,6.73,9.69,137.48
Pm427,M,EG,70.54,35.7,7.66,8.1,3.81,8.43,6.95,7.45,3.04,7.43,16.65,11.75,4.94,13.76,16.26,11.41,5.01,14.53,8.65,7.69,17.03,6.58,9.55,136.42
Pm420,M,EG,66.72,32.33,8.04,7.99,3.01,8.65,7.75,8.18,3.56,8.67,16.18,11.36,4.78,14.56,17.51,11.98,4.46,NA,7.14,6.84,16.84,6.73,8.74,130.25
Pm420,M,EG,68.13,32.75,8.19,8.26,3.39,8.9,8.42,8.44,3.78,8.69,16.13,10.91,4.41,14.74,17.93,11.9,4.61,NA,7.81,6.96,17,6.7,8.43,132.03
Pm446,M,EG,66.1,29.87,6.97,7.36,3,7.55,7.08,7.61,3.16,7.94,14.2,10.3,3.72,12.39,17.32,10.16,4.33,NA,8.23,7.2,16.78,6.04,10.29,97.06
Pm446,M,EG,68.85,31.76,6.48,7.54,3.08,7.24,7.12,7.39,3.04,7.61,15.01,10.85,3.88,13.08,16.9,10.13,4.15,NA,8.13,7.17,17.07,6.54,9.88,97.13
Pm428,M,EG,69.9,36.5,7.45,7.79,3.27,NA,8.23,7.76,3.51,7.82,18.43,11.06,4.18,NA,16.81,12.78,4.97,11.37,7.68,8.19,17.45,6.39,8.69,131.05
Pm428,M,EG,70.33,36.93,7.74,8.22,3.45,NA,7.33,7.64,3.73,7.89,17.82,10.97,4.58,NA,16.17,12.53,5.26,12.4,8.33,7.75,17.78,6.33,8.54,131.82
Pm441,M,EG,57.95,26.57,8.47,7.17,2.76,6.44,6.33,6.71,3.03,6.59,11.74,9.74,3.89,11.65,13.4,8.4,4.7,12.5,5.81,5.9,14.03,5.15,6.91,81.14
Pm441,M,EG,55.59,26.77,8.13,7.11,2.47,6.38,6.84,6.89,2.81,7.08,11.95,9.97,4.05,10.29,13.68,9.13,4.44,12.24,6.25,5.82,14.19,5.6,6.7,81.64
Pm422,M,EG,69.78,31.63,9.16,8.28,4.4,9.57,8.48,8.49,3.59,8.5,18.13,11.91,4.4,14.28,17.45,11.12,4.44,NA,6.5,7.61,17.5,6.53,10.19,127.15
Pm422,M,EG,71.31,31.89,9,8.25,3.98,8.51,7.57,8.51,3.86,8.05,19.65,11.36,4.94,13.88,18.26,11.67,4.82,NA,6.8,7.57,17.7,7.04,9.93,127.15
Pm421,M,EG,67.38,32.58,7.5,7.4,3.09,7.63,8.19,7.73,3.74,8.76,17.66,11.35,4.78,14.1,16.04,11.49,4.5,NA,8.41,8.96,17.1,6.84,8.8,140.56
